pod_6_id,username,pod_6_preference
1,User 1,User 7
2,User 7,User 1
3,User 2,User 8
4,User 8,User 2
5,User 3,User 9
6,User 9,User 3
7,User 4,User 10
8,User 10,User 4
9,User 5,User 11
10,User 11,User 5
11,User 6,User 12
12,User 12,User 6
13,User 13,User 19
14,User 19,User 13
15,User 14,User 20
16,User 20,User 14
17,User 15,User 21
18,User 21,User 15
19,User 16,User 22
20,User 22,User 16
21,User 17,User 23
22,User 23,User 17
23,User 18,User 24
24,User 24,User 18
25,User 25,User 31
26,User 31,User 25
27,User 26,User 32
28,User 32,User 26
29,User 27,User 33
30,User 33,User 27
31,User 28,User 34
32,User 34,User 28
33,User 29,User 35
34,User 35,User 29
35,User 30,User 36
36,User 36,User 30
37,User 37,User 43
38,User 43,User 37
39,User 38,User 44
40,User 44,User 38
41,User 39,User 45
42,User 45,User 39
43,User 40,User 46
44,User 46,User 40
45,User 41,User 47
46,User 47,User 41
47,User 42,User 48
48,User 48,User 42
49,User 49,User 55
50,User 55,User 49
51,User 50,User 56
52,User 56,User 50
53,User 51,User 57
54,User 57,User 51
55,User 52,User 58
56,User 58,User 52
57,User 53,User 59
58,User 59,User 53
59,User 54,User 60
60,User 60,User 54
61,User 61,User 67
62,User 67,User 61
63,User 62,User 68
64,User 68,User 62
65,User 63,User 69
66,User 69,User 63
67,User 64,User 70
68,User 70,User 64
69,User 65,User 71
70,User 71,User 65
71,User 66,User 72
72,User 72,User 66
73,User 73,User 79
74,User 79,User 73
75,User 74,User 80
76,User 80,User 74
77,User 75,User 81
78,User 81,User 75
79,User 76,User 82
80,User 82,User 76
81,User 77,User 83
82,User 83,User 77
83,User 78,User 84
84,User 84,User 78
85,User 85,User 91
86,User 91,User 85
87,User 86,User 92
88,User 92,User 86
89,User 87,User 93
90,User 93,User 87
91,User 88,User 94
92,User 94,User 88
93,User 89,User 95
94,User 95,User 89
95,User 90,User 96
96,User 96,User 90
