pod_3_id,username,pod_3_preference
1,User 1,User 4
2,User 4,User 1
3,User 2,User 3
4,User 3,User 2
5,User 5,User 8
6,User 8,User 5
7,User 6,User 7
8,User 7,User 6
9,User 9,User 12
10,User 12,User 9
11,User 10,User 11
12,User 11,User 10
13,User 13,User 16
14,User 16,User 13
15,User 14,User 15
16,User 15,User 14
17,User 17,User 20
18,User 20,User 17
19,User 18,User 19
20,User 19,User 18
21,User 21,User 24
22,User 24,User 21
23,User 22,User 23
24,User 23,User 22
25,User 25,User 28
26,User 28,User 25
27,User 26,User 27
28,User 27,User 26
29,User 29,User 32
30,User 32,User 29
31,User 30,User 31
32,User 31,User 30
33,User 33,User 36
34,User 36,User 33
35,User 34,User 35
36,User 35,User 34
37,User 37,User 40
38,User 40,User 37
39,User 38,User 39
40,User 39,User 38
41,User 41,User 44
42,User 44,User 41
43,User 42,User 43
44,User 43,User 42
45,User 45,User 48
46,User 48,User 45
47,User 46,User 47
48,User 47,User 46
49,User 49,User 52
50,User 52,User 49
51,User 50,User 51
52,User 51,User 50
53,User 53,User 56
54,User 56,User 53
55,User 54,User 55
56,User 55,User 54
57,User 57,User 60
58,User 60,User 57
59,User 58,User 59
60,User 59,User 58
61,User 61,User 64
62,User 64,User 61
63,User 62,User 63
64,User 63,User 62
65,User 65,User 68
66,User 68,User 65
67,User 66,User 67
68,User 67,User 66
69,User 69,User 72
70,User 72,User 69
71,User 70,User 71
72,User 71,User 70
73,User 73,User 76
74,User 76,User 73
75,User 74,User 75
76,User 75,User 74
77,User 77,User 80
78,User 80,User 77
79,User 78,User 79
80,User 79,User 78
81,User 81,User 84
82,User 84,User 81
83,User 82,User 83
84,User 83,User 82
85,User 85,User 88
86,User 88,User 85
87,User 86,User 87
88,User 87,User 86
89,User 89,User 92
90,User 92,User 89
91,User 90,User 91
92,User 91,User 90
93,User 93,User 96
94,User 96,User 93
95,User 94,User 95
96,User 95,User 94
97,User 97,User 100
98,User 100,User 97
99,User 98,User 99
100,User 99,User 98
