pod_2_id,username,pod_2_preference
1,User 1,User 3
2,User 2,User 4
3,User 3,User 1
4,User 4,User 2
5,User 5,User 7
6,User 6,User 8
7,User 7,User 5
8,User 8,User 6
9,User 9,User 11
10,User 10,User 12
11,User 11,User 9
12,User 12,User 10
13,User 13,User 15
14,User 14,User 16
15,User 15,User 13
16,User 16,User 14
17,User 17,User 19
18,User 18,User 20
19,User 19,User 17
20,User 20,User 18
21,User 21,User 23
22,User 22,User 24
23,User 23,User 21
24,User 24,User 22
25,User 25,User 27
26,User 26,User 28
27,User 27,User 25
28,User 28,User 26
29,User 29,User 31
30,User 30,User 32
31,User 31,User 29
32,User 32,User 30
33,User 33,User 35
34,User 34,User 36
35,User 35,User 33
36,User 36,User 34
37,User 37,User 39
38,User 38,User 40
39,User 39,User 37
40,User 40,User 38
41,User 41,User 43
42,User 42,User 44
43,User 43,User 41
44,User 44,User 42
45,User 45,User 47
46,User 46,User 48
47,User 47,User 45
48,User 48,User 46
49,User 49,User 51
50,User 50,User 52
51,User 51,User 49
52,User 52,User 50
53,User 53,User 55
54,User 54,User 56
55,User 55,User 53
56,User 56,User 54
57,User 57,User 59
58,User 58,User 60
59,User 59,User 57
60,User 60,User 58
61,User 61,User 63
62,User 62,User 64
63,User 63,User 61
64,User 64,User 62
65,User 65,User 67
66,User 66,User 68
67,User 67,User 65
68,User 68,User 66
69,User 69,User 71
70,User 70,User 72
71,User 71,User 69
72,User 72,User 70
73,User 73,User 75
74,User 74,User 76
75,User 75,User 73
76,User 76,User 74
77,User 77,User 79
78,User 78,User 80
79,User 79,User 77
80,User 80,User 78
81,User 81,User 83
82,User 82,User 84
83,User 83,User 81
84,User 84,User 82
85,User 85,User 87
86,User 86,User 88
87,User 87,User 85
88,User 88,User 86
89,User 89,User 91
90,User 90,User 92
91,User 91,User 89
92,User 92,User 90
93,User 93,User 95
94,User 94,User 96
95,User 95,User 93
96,User 96,User 94
97,User 97,User 99
98,User 98,User 100
99,User 99,User 97
100,User 100,User 98
