pod_5_id,username,pod_5_preference
1,User 1,User 6
2,User 6,User 1
3,User 2,User 7
4,User 7,User 2
5,User 3,User 8
6,User 8,User 3
7,User 4,User 9
8,User 9,User 4
9,User 5,User 10
10,User 10,User 5
11,User 11,User 16
12,User 16,User 11
13,User 12,User 17
14,User 17,User 12
15,User 13,User 18
16,User 18,User 13
17,User 14,User 19
18,User 19,User 14
19,User 15,User 20
20,User 20,User 15
21,User 21,User 26
22,User 26,User 21
23,User 22,User 27
24,User 27,User 22
25,User 23,User 28
26,User 28,User 23
27,User 24,User 29
28,User 29,User 24
29,User 25,User 30
30,User 30,User 25
31,User 31,User 36
32,User 36,User 31
33,User 32,User 37
34,User 37,User 32
35,User 33,User 38
36,User 38,User 33
37,User 34,User 39
38,User 39,User 34
39,User 35,User 40
40,User 40,User 35
41,User 41,User 46
42,User 46,User 41
43,User 42,User 47
44,User 47,User 42
45,User 43,User 48
46,User 48,User 43
47,User 44,User 49
48,User 49,User 44
49,User 45,User 50
50,User 50,User 45
51,User 51,User 56
52,User 56,User 51
53,User 52,User 57
54,User 57,User 52
55,User 53,User 58
56,User 58,User 53
57,User 54,User 59
58,User 59,User 54
59,User 55,User 60
60,User 60,User 55
61,User 61,User 66
62,User 66,User 61
63,User 62,User 67
64,User 67,User 62
65,User 63,User 68
66,User 68,User 63
67,User 64,User 69
68,User 69,User 64
69,User 65,User 70
70,User 70,User 65
71,User 71,User 76
72,User 76,User 71
73,User 72,User 77
74,User 77,User 72
75,User 73,User 78
76,User 78,User 73
77,User 74,User 79
78,User 79,User 74
79,User 75,User 80
80,User 80,User 75
81,User 81,User 86
82,User 86,User 81
83,User 82,User 87
84,User 87,User 82
85,User 83,User 88
86,User 88,User 83
87,User 84,User 89
88,User 89,User 84
89,User 85,User 90
90,User 90,User 85
91,User 91,User 96
92,User 96,User 91
93,User 92,User 97
94,User 97,User 92
95,User 93,User 98
96,User 98,User 93
97,User 94,User 99
98,User 99,User 94
99,User 95,User 100
100,User 100,User 95
